channel_id,year,video_count
UC0C_CplF_fwd1hEZuIE6VIw,2020,16
UC0C_CplF_fwd1hEZuIE6VIw,2021,100
UC0C_CplF_fwd1hEZuIE6VIw,2022,105
UC0C_CplF_fwd1hEZuIE6VIw,2023,62
UC0C_CplF_fwd1hEZuIE6VIw,2024,8
UC0CvHQnIDi7-Pk5nyc09EYw,2022,20
UC0CvHQnIDi7-Pk5nyc09EYw,2023,202
UC0CvHQnIDi7-Pk5nyc09EYw,2024,98
UC0CvHQnIDi7-Pk5nyc09EYw,2025,1
UC0D7SuIVLYoD1hU3dxNxdMg,2023,65
UC0D7SuIVLYoD1hU3dxNxdMg,2024,205
UC0D7SuIVLYoD1hU3dxNxdMg,2025,203
UC0D7SuIVLYoD1hU3dxNxdMg,2026,80
UC0FTyntIoEvvpfQOe75zJXA,2023,86
UC0FTyntIoEvvpfQOe75zJXA,2024,126
UC0FTyntIoEvvpfQOe75zJXA,2025,172
UC0FTyntIoEvvpfQOe75zJXA,2026,71
UC0HGT-zZVzNq5JGOJOGYfJA,2024,6
UC0HGT-zZVzNq5JGOJOGYfJA,2025,102
UC0HGT-zZVzNq5JGOJOGYfJA,2026,83
UC0J6pp9DfQIKE0ZP7nHq7oA,2026,5
UC0Ky1U__7T2Z5SOZCvNlJ-Q,2020,17
UC0Ky1U__7T2Z5SOZCvNlJ-Q,2021,8
UC0Ky1U__7T2Z5SOZCvNlJ-Q,2022,7
UC0Ky1U__7T2Z5SOZCvNlJ-Q,2023,3
UC0Ky1U__7T2Z5SOZCvNlJ-Q,2024,13
UC0Ky1U__7T2Z5SOZCvNlJ-Q,2025,6
UC0OQFhAPY9bgfKqi6u8MI7Q,2024,32
UC0OQFhAPY9bgfKqi6u8MI7Q,2025,58
UC0OQFhAPY9bgfKqi6u8MI7Q,2026,10
UC0WohB8vCmGDUn1q67z8kTA,2024,18
UC0WohB8vCmGDUn1q67z8kTA,2025,4
UC0WohB8vCmGDUn1q67z8kTA,2026,89
UC0XEfbSBJTqH5sH79R7ZXKw,2024,105
UC0XEfbSBJTqH5sH79R7ZXKw,2025,95
UC0XEfbSBJTqH5sH79R7ZXKw,2026,31
UC0XMhMMHSxNWG2wz38VRpiA,2025,1
UC0Zn4uhb90EBb5e3NlvuS1g,2025,27
UC0Zn4uhb90EBb5e3NlvuS1g,2026,177
UC0ZulKukNQiTsA2r7dEL0OA,2022,2
UC0ZulKukNQiTsA2r7dEL0OA,2023,45
UC0ZulKukNQiTsA2r7dEL0OA,2024,157
UC0ZulKukNQiTsA2r7dEL0OA,2025,268
