account_key,platform,channel_id,label,url,eligibility_status,reason_code,included
facebook:acct_230e4de35891631cc6ce,facebook,,jayvounter,https://www.facebook.com/jayvounter,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_23401811e9a498dbbd86,facebook,,LayniaziaVtuberTH,https://www.facebook.com/LayniaziaVtuberTH,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_236e9631336441038596,facebook,,dee.ji.12764,https://www.facebook.com/dee.ji.12764,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_2395d1bdf691150b13d5,facebook,,AstreaStarVtuber,https://www.facebook.com/AstreaStarVtuber,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_2455c3d262a209860cfa,facebook,,PINTO,https://www.facebook.com/pnpnpinto,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_24815822ef63bd546f12,facebook,,mthicha.vtuber,https://www.facebook.com/mthicha.vtuber,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_268841015f40315010a4,facebook,,tamarun1st,https://www.facebook.com/tamarun1st,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_27bf55d990160e8be5eb,facebook,,bitly,https://www.facebook.com/bitly,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_28829f19330ec878b9e9,facebook,,PadzangChannel,https://www.facebook.com/PadzangChannel,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_294b3de2523f5424b018,facebook,,ItsAlexisWolf,https://www.facebook.com/ItsAlexisWolf,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_29a9905255533a83e42c,facebook,,Aji2806,https://www.facebook.com/Aji2806,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_2ad2209824722183a786,facebook,,sirirat.fanli,https://www.facebook.com/sirirat.fanli,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_2cea9bd37f141817a6ce,facebook,,alteriastareater,https://www.facebook.com/alteriastareater,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_2d47f76112a59e1fa113,facebook,,Sata Channel,https://www.facebook.com/sharer.php?u=https%3A%2F%2Fko-fi.com%2Fsatachan%2Fgoal%3Fg%3D65%22e%3D%F0%9F%9F%A9%F0%9F%9F%A9%F0%9F%9F%A9%F0%9F%9F%A9%F0%9F%9F%A9%F0%9F%9F%A9%E2%AC%9C%E2%AC%9C%E2%AC%9C%E2%AC%9C+65%25+of+goal+on+Ko-fi%21,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_2d6da5cd8480a5e871f8,facebook,,61568997413194,https://www.facebook.com/profile.php?id=61568997413194,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_2d88b29cdffb76533f2b,facebook,,supersky.amy,https://www.facebook.com/supersky.amy,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_2ec6f7a38b862a5ffb1f,facebook,,KYTsuruko,https://www.facebook.com/KYTsuruko,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_304d97440d4d649dc0d3,facebook,,100077918560094,https://www.facebook.com/profile.php?id=100077918560094,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_31a581b8d59284a1e7be,facebook,,Evalia.ARP,https://www.facebook.com/Evalia.ARP,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_31b04634d6245b884379,facebook,,SmallC69,https://www.facebook.com/SmallC69,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_32706f33c16d055ed850,facebook,,akitoqchflame,https://www.facebook.com/akitoqchflame,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_3283d416ebc4a372f308,facebook,,kuroyoru.yami,https://www.facebook.com/kuroyoru.yami,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_35c473f2905cb368ec02,facebook,,Potia Pbt,https://www.facebook.com/Potia Pbt,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_3619beec0082e64612c5,facebook,,100089324731834,https://www.facebook.com/profile.php?id=100089324731834,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
facebook:acct_36a798185b43e011c823,facebook,,PlatinumRankWrath,https://www.facebook.com/PlatinumRankWrath,HOLD_NEEDS_CHANNEL_REVIEW,NO_REVIEWED_PLATFORM_ACCOUNT_ID,False
