sample_id,channel_id,video_id,year,video_published_at,time_bin,sampling_reason,t5_capture_count,t5_output_file
smp_UC0Ky1U__2024_2aikQt7mjlw,UC0Ky1U__7T2Z5SOZCvNlJ-Q,2aikQt7mjlw,2024,2024-06-02T06:00:07+00:00,bin_3_may_jun,baseline_stratified,99,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UC0Ky1U__7T2Z5SOZCvNlJ-Q\2aikQt7mjlw.parquet
smp_UC2eai5w_2024_cVOWLwzh8Fs,UC2eai5waelgobAHgp20DEYg,cVOWLwzh8Fs,2024,2024-11-09T11:00:46+00:00,bin_6_nov_dec,baseline_stratified,99,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UC2eai5waelgobAHgp20DEYg\cVOWLwzh8Fs.parquet
smp_UC3O5wAg_2024_2lzLXwqEcRY,UC3O5wAgEVyNA1Jw3gyi-_jA,2lzLXwqEcRY,2024,2024-07-29T02:00:01+00:00,bin_4_jul_aug,baseline_stratified,98,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UC3O5wAgEVyNA1Jw3gyi-_jA\2lzLXwqEcRY.parquet
smp_UC3O5wAg_2024_SlaH7ykv_-4,UC3O5wAgEVyNA1Jw3gyi-_jA,SlaH7ykv_-4,2024,2024-03-30T02:00:19+00:00,bin_2_mar_apr,baseline_stratified,98,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UC3O5wAgEVyNA1Jw3gyi-_jA\SlaH7ykv_-4.parquet
smp_UC3O5wAg_2024_TDVFEtfedxk,UC3O5wAgEVyNA1Jw3gyi-_jA,TDVFEtfedxk,2024,2024-12-05T02:00:25+00:00,bin_6_nov_dec,baseline_stratified,97,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UC3O5wAgEVyNA1Jw3gyi-_jA\TDVFEtfedxk.parquet
smp_UC3O5wAg_2024_knXuHOneRGw,UC3O5wAgEVyNA1Jw3gyi-_jA,knXuHOneRGw,2024,2024-05-23T02:00:26+00:00,bin_3_may_jun,baseline_stratified,93,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UC3O5wAgEVyNA1Jw3gyi-_jA\knXuHOneRGw.parquet
smp_UCAr4U_H_2024_4U-MB5k24JQ,UCAr4U_HGMYXn1EZjdWiGSLQ,4U-MB5k24JQ,2024,2024-01-27T14:08:52+00:00,bin_1_jan_feb,baseline_stratified,98,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCAr4U_HGMYXn1EZjdWiGSLQ\4U-MB5k24JQ.parquet
smp_UCGBkYTR_2024_LUNrrgoyKAs,UCGBkYTR4tMKS38TQHGWWLjg,LUNrrgoyKAs,2024,2024-08-24T03:41:09+00:00,bin_4_jul_aug,baseline_stratified,100,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCGBkYTR4tMKS38TQHGWWLjg\LUNrrgoyKAs.parquet
smp_UCGBkYTR_2024_UkCiThhwfLI,UCGBkYTR4tMKS38TQHGWWLjg,UkCiThhwfLI,2024,2024-03-12T11:03:57+00:00,bin_2_mar_apr,baseline_stratified,92,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCGBkYTR4tMKS38TQHGWWLjg\UkCiThhwfLI.parquet
smp_UCGBkYTR_2024_uZCJmkQpkYE,UCGBkYTR4tMKS38TQHGWWLjg,uZCJmkQpkYE,2024,2024-12-03T10:01:01+00:00,bin_6_nov_dec,baseline_stratified,98,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCGBkYTR4tMKS38TQHGWWLjg\uZCJmkQpkYE.parquet
smp_UCGtjAVY_2024_H6AuBauMXlM,UCGtjAVYcncs1AJ5hQY0gASQ,H6AuBauMXlM,2024,2024-12-07T05:00:21+00:00,bin_6_nov_dec,baseline_stratified,100,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCGtjAVYcncs1AJ5hQY0gASQ\H6AuBauMXlM.parquet
smp_UCGtjAVY_2024_Wa5xMGgD3kM,UCGtjAVYcncs1AJ5hQY0gASQ,Wa5xMGgD3kM,2024,2024-11-23T05:00:22+00:00,bin_6_nov_dec,baseline_stratified,99,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCGtjAVYcncs1AJ5hQY0gASQ\Wa5xMGgD3kM.parquet
smp_UCGtjAVY_2024_oCtHNmxyS00,UCGtjAVYcncs1AJ5hQY0gASQ,oCtHNmxyS00,2024,2024-12-14T06:00:22+00:00,bin_6_nov_dec,baseline_stratified,98,C:\Users\Icezaza\Documents\GitHub\ThaiVtuberSNA\data\temporal\observations\comment\UCGtjAVYcncs1AJ5hQY0gASQ\oCtHNmxyS00.parquet
