channel_id,name,tier_at_selection,subscriber_count_at_selection,lifecycle_status,agency,selection_reason,selected_at
UCRNJOb6iROvOKqWiB9H1lBg,JayVounter,A,61000,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCO6R8Pc5g2R7ObJQPBGppdg,Baku Ch.【ARP】,A,60800,active,Algorhythm Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCVhHSmzes15AABN5pKcq7bQ,พรี่โอม Omoro & คุณนายกระต่าย BunBun,A,60800,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCVAsOHcLLGVQq6aOpesOwBQ,Hanabi Lafy Ch. Pixela-Isekai,A,60300,active,Pixela Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCQs4BC3S0KSw7i0ggHXn8TA,Quentin Ch.【ARP】,A,59700,hiatus,Algorhythm Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UC-1J1TwDCLKe2p4HVchqGiw,Mosant Ch.,A,59400,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCS9vgAEQSQDhgTRIskKA2tA,Ark Ch.【ARP】,A,59000,active,Algorhythm Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCZYTMrnVmu1iUVyGeqB6zJQ,T-Reina Ashyra Ch. Lumina-World-End,A,58700,active,Lumina Live,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCjrs5Sse402rafaOP-k37Xw,Sisira Hydrangea Ch. Pixela S,A,58700,active,Pixela Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCIMFIkXOGA7dWA903WdRKKg,Nezumi Elze Ch. Pixela Legends,A,58200,active,Pixela Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCRG5fX1v4b-3sUyKfAAtxxA,Luxia Ch.,A,57000,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCGo7fnmWfGQewxZVDmC3iJQ,Xonebu X'thulhu Ch. Lumina-World-End,A,56500,active,Lumina Live,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCbEkHjG43yPMGq5W08jq1TQ,ChaAYM,A,56300,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCEk6QSUJhVf56A_VznMpKpg,PeachiView,A,55900,hiatus,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCxLMvBlryxSsteqI9L8RmZg,NEBUEL | VTUBER,A,55300,hiatus,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UC8lQ60XP8szvj0GHwxYUS2Q,Kyomu Ch.,A,55200,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCgnavpGZUMzWODQB_daHZbQ,Listen Ch.【ARP】,A,54000,active,Algorhythm Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCpMuWBxMa6ttNgtylPTn3Hg,Nergal Near Ch.,A,53900,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCGbMin84xisO1Yuq_guVlFA,NUTTY ROZE,A,53000,hiatus,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCOMnre_EA7EoOVQEkBwWKRA,Mabelle.a,A,52900,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCjQxLH9yqYXowVtH7a-6L-Q,MikuRu-0 Project,A,52900,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCGAtHjeWWgyWboVQ33ZQX6Q,Zenith Ch.【ARP】,A,52100,active,Algorhythm Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCapmEuEA_aL81YaihYO27vQ,Tsuku CH.,A,52100,hiatus,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCrsyP6H1Ftqt503xKE7_CUg,Akemi Arlin Ch. Pixela Legends,A,51000,active,Pixela Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UC64_YFnoPvaGUSv4fpozr1w,MONARICA,A,51000,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UC2eai5waelgobAHgp20DEYg,Ardalita Lilibelle Ch. Lumina-First-Myth,A,50800,active,Lumina Live,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UC4x2o7dyxOqFLoA9NKxf0Iw,Ivy Ch.【ARP】,A,50600,active,Algorhythm Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCJdXesaZYrQVSjhlYhme8rQ,Ayna Ch.【ARP】,A,50400,hiatus,Algorhythm Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCgq-rIElYiBFQnxgMnkojwg,Padzang Channel,A,50400,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCxH2k-7jm1hMVcujrnMMj0A,Ryouta OrcusX Ch.,A,50200,unknown,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCOVpD7MesZKe44ZvLVuwXvA,Asteroth Ch.【ARP】,B,49800,hiatus,Algorhythm Project,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCXkoAHy8rg9tryYsD61IXOg,Morr Ch.【ARP】,B,49800,active,Algorhythm Project,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCEZl6aWM_c93GHtB12UfxNA,SICXERZ : CORE Ch.,B,48800,active,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UC9dolQobrGWzLP2UNrkUbEw,Liz's | WISLIVE,B,48800,active,Independent,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UC6lZLAOgSYgJ6ZkW2ZTI75Q,Effy Ch.【ARP】,B,47600,unknown,Algorhythm Project,Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
UCSOxauTBY7eKbUnQ86W708Q,Supeacha ⌜VZ⌟,B,47500,active,Virtual Zeven (VZ),Tier B High-Sub (>=30k subscribers),2026-09-07T18:09:48.704697+00:00
