platform,platform_id,name,url
youtube,UCUz8QMqTQYtmKprSeGGKEkw,Kaylef Orion,https://www.youtube.com/channel/UCUz8QMqTQYtmKprSeGGKEkw
youtube,UCkF8r4_wvBnMm2mrdvcxU_g,Sunfish Ch.,https://www.youtube.com/channel/UCkF8r4_wvBnMm2mrdvcxU_g
x,T1Jisoomanz,Jisooman Ch.,https://x.com/T1Jisoomanz
youtube,UCUmR1YXqxbx1NXusY2ugj8A,Thear DreamWhale° 10Hz,https://www.youtube.com/channel/UCUmR1YXqxbx1NXusY2ugj8A
tiktok,7294216498329994258,Wang Cheng Se | V.W.Y,https://www.tiktok.com/@wangchengse
youtube,UCCmBL9p7d1a0aBjZSPF8QpQ,switch on vtuber,https://www.youtube.com/channel/UCCmBL9p7d1a0aBjZSPF8QpQ
instagram,kjz0322,kjz0322,https://www.instagram.com/kjz0322
youtube,UCTRQ7X-nxix3gjjXUb6ylvA,Ginnique Ch.【ARP】,https://www.youtube.com/channel/UCTRQ7X-nxix3gjjXUb6ylvA
x,YueQinVtuber,YueQin Vtuber 『Berlina•ECR』,https://x.com/YueQinVtuber
twitch,635458669,acintunz,https://www.twitch.tv/acintunz
twitch,212380556,Feentalis,https://www.twitch.tv/feentalis
tiktok,7205997854459511813,yuu.hakugetsu,https://www.tiktok.com/@yuu.hakugetsu
tiktok,7055976442072908801,Azato Stacia,https://www.tiktok.com/@azatostacia
x,Chaoslnwza007,Chaos Ch.,https://x.com/Chaoslnwza007
tiktok,7536267080905245716,Vampaow,https://www.tiktok.com/@vampaow
tiktok,7325320315822900226,Qmulaz 🫧☁️,https://www.tiktok.com/@qmulaz_vt
twitch,1241248388,vtubermale,https://www.twitch.tv/vtubermale
x,keroRaika,Kerori Raika,https://x.com/keroRaika
twitch,104391402,psp1g,https://www.twitch.tv/psp1g
twitch,210689050,ITsMeYao,https://www.twitch.tv/itsmeyao
facebook,lFuyuKaidal,lFuyuKaidal,https://www.facebook.com/lFuyuKaidal
tiktok,7124346781417210907,MoRin (โมริน) 🍉🐇,https://www.tiktok.com/@morinplanet
x,MikuruZER0_proj,MikuRu-0 Project,https://x.com/MikuruZER0_proj
x,DemonDevto42906,Devto Demon,https://x.com/DemonDevto42906
tiktok,7221571832712594440,YUYA l VtuberTH,https://www.tiktok.com/@yuya_ch
x,MeropeVtuber,Merope Ch.,https://x.com/MeropeVtuber
twitch,164440486,toramochizuki,https://www.twitch.tv/toramochizuki
youtube,UCcbMfHO8TX8mQ9LEi4zs5Zw,Gris Panthera Ch. ,https://www.youtube.com/channel/UCcbMfHO8TX8mQ9LEi4zs5Zw
youtube,UC6KkQjryShrw6MRBPX6XMmw,Rahhatem Ch.【PSM】,https://www.youtube.com/channel/UC6KkQjryShrw6MRBPX6XMmw
